label,pca_x,pca_y,tsne_x,tsne_y
0,57.46622467,7.41534901,17.92982483,-20.97696686
0,72.18660736,28.47486115,18.07909203,-21.41860199
0,51.62121201,37.08124924,-17.98299980,-29.73281479
0,-99.65916443,-0.53251636,-20.18820000,17.50743866
0,-68.70233917,0.66673493,-10.09510612,0.70762825
0,-68.23256683,0.47065568,-10.70049572,1.02370369
0,-67.64707184,-0.30148628,-4.76706600,-1.54617786
0,1.70711184,165.70462036,-7.65392542,11.71255875
0,74.52462769,214.40257263,-1.59174728,-31.24251175
0,32.39867783,169.35816956,-3.91417098,-31.96596718
0,-17.90955925,127.04797363,-6.31976080,-31.61669540
0,-52.33261871,42.74270630,-15.83206940,16.99323082
0,-26.33049393,58.84679031,-4.45348597,-7.87626076
0,-28.39399147,62.70314026,-8.15228367,-17.42759323
0,-43.85639572,52.61663055,-14.01339531,-20.29040146
0,-86.61584473,3.00905681,-22.13144493,16.67352104
0,-49.51079559,10.76085949,-6.87011433,-3.08197784
0,-49.52689362,5.85827637,-5.85068798,-3.07372284
0,-50.77289200,3.50200605,-6.87363768,-0.69043595
0,-40.74876785,-25.64746857,-3.28047109,24.78805542
0,5.03618336,-24.28067589,13.60083485,-13.36294556
0,26.80062103,-6.40885019,15.04197121,-22.25357246
0,7.22709322,4.61967659,-18.64366531,-28.73177147
1,0.34683701,-59.69232941,-10.97328186,28.24857521
1,50.33360672,-59.02973557,24.71312523,6.88437462
1,40.90672684,-47.94337463,27.82237434,0.22416399
1,1.38739133,-41.35152817,21.76502991,-3.68381810
1,-33.57915497,-67.34152985,-17.98479652,28.30706978
1,45.12650681,-81.16138458,16.31078148,11.09925079
1,55.59529495,-83.00167847,19.46698189,7.06080723
1,66.12849426,-88.49763489,19.72396469,10.76381588
0,-64.27798462,8.09401131,-16.18829346,8.91970539
0,-54.05610275,14.37741280,-0.83098465,-10.43836117
0,-49.37715912,32.23994446,-15.67352200,-10.07782173
0,-65.00378418,34.81303787,-17.32438469,-22.52885437
0,10.44719791,-68.35034943,-11.73797226,28.40174866
0,49.86664200,-75.15745544,21.16920662,7.84207010
0,21.48212624,-68.67298889,20.54386330,0.91780895
0,-17.93406296,-61.25502014,20.48435211,-1.86367071
1,-52.75759125,-41.68604660,-17.90916824,26.10777473
1,6.26628160,-51.72994232,12.81150532,9.20296860
1,17.38746452,-57.25511932,12.92936516,9.50643444
1,20.17973900,-58.90972519,14.56752300,5.88764858
0,-121.87772369,14.05824757,-22.11280823,13.93936539
0,-90.25315857,28.31200218,-12.69629765,-3.30980253
0,-87.62638092,28.01122284,-11.97850704,-3.71126890
0,-85.92619324,29.22724342,-11.10997486,-4.99470425
1,-32.51048660,-23.14242554,-4.95985651,25.00222778
1,17.64386368,-19.38018990,15.91123390,-17.91041183
1,15.59531593,-22.05130577,16.01700974,-11.91220570
1,15.86660576,-21.83761406,15.98853493,-18.01352692
0,-22.95755959,46.24438095,-7.20181704,20.03124809
0,29.51902580,52.74263000,8.47245121,-17.06745720
0,19.12526131,54.19168854,4.64104271,-19.18943596
0,-25.38895798,49.82052612,-14.01637268,-25.68321800
1,-6.22714043,-85.69217682,-11.73068237,29.87681961
1,48.27852249,-96.37029266,22.24900627,11.05194664
1,35.69823837,-86.08077240,22.40653610,2.50150132
1,0.12115068,-72.73660278,22.26642609,-1.76490223
1,133.83758545,-108.78980255,-7.28346777,34.64586258
1,191.82411194,-112.86925507,30.61404610,13.46118355
1,163.63940430,-94.86195374,31.38830757,3.64660621
1,101.73856354,-74.97430420,26.95360184,-2.87490964
0,-73.44507599,-26.65899277,-19.77161407,23.72083855
0,-44.45282364,-31.69493484,4.76460457,3.71952963
0,-45.44712067,-28.51519203,-0.31718835,2.22808146
0,-44.61797714,-27.28421021,4.81179333,3.10745859
0,-26.66021538,30.35957718,-13.29375648,18.07931900
0,29.00188065,42.43500137,-0.63565075,-19.22933388
0,34.03828430,43.49008942,-0.56398821,-19.62335205
0,36.75023651,42.02945709,-0.09438635,-19.74157906
1,-41.40914154,-58.47735214,-18.09792900,26.58720779
1,18.31023788,-74.73428345,14.90645790,6.41391802
1,31.18671227,-82.02472687,17.77173042,10.60314465
1,33.51827621,-82.65000916,16.31025696,6.62927055
0,-131.31510925,6.75403500,-23.45078468,9.88767815
0,-124.05703735,6.34714842,-23.86148834,3.84035158
0,-129.26795959,6.46017838,-25.83191490,5.55613661
0,-129.67173767,7.26898384,-24.64285660,4.30090427
0,-146.73483276,6.79832506,-25.55461311,9.61351013
0,-115.47110748,21.61363602,-25.53611946,4.07030392
0,-112.85948181,25.95471191,-26.76224709,5.29781771
0,-112.67380524,27.00462914,-25.67607498,3.27953386
1,-71.62777710,7.24136257,-13.39683628,13.59084320
1,-61.03163528,9.54296207,0.96919227,-9.62002468
1,-65.59274292,16.72480202,0.93247193,-9.80749798
1,-64.09738159,20.63286400,0.28867489,-10.55010033
1,66.91205597,-46.11775589,-2.30500126,29.65742683
1,42.66555405,-29.68954468,21.49732590,-15.34345913
1,54.36988449,-27.83942604,23.59881592,-21.39415741
1,22.51151276,-19.52522469,-16.32323647,-30.90825844
1,69.45316315,-48.57527161,-2.15345311,31.23587799
1,60.22016144,-42.87666702,24.77236366,-17.20307922
1,73.27866364,-35.21331787,24.49342918,-16.48254585
1,40.11864090,-25.13048553,-19.23171806,-31.36942673
